# Time (s),Acceleration (g)
0.00,-0.001427580
0.02,-0.011012760
0.04,-0.010298970
0.06,-0.008973360
0.08,-0.009687150
0.10,-0.012236400
0.12,-0.014479739
0.14,-0.013052160
0.16,-0.011216700
0.18,-0.008667450
0.20,-0.008667450
0.22,-0.013358070
0.24,-0.017946720
0.26,-0.019782179
0.28,-0.016519140
0.30,-0.014683679
0.32,-0.011012760
0.34,-0.008361540
0.36,-0.004282740
0.38,-0.006730020
0.40,-0.013358070
0.42,-0.019374299
0.44,-0.019986120
0.46,-0.006730020
0.48,0.003059100
0.50,0.014377770
0.52,-0.004996530
0.54,-0.013052160
0.56,-0.014683679
0.58,-0.020699909
0.60,-0.026512199
0.62,-0.033140249
0.64,-0.031202819
0.66,-0.017538840
0.68,-0.020088090
0.70,-0.016621109
0.72,-0.016723079
0.74,-0.006831990
0.76,0.002549250
0.78,0.015295499
0.80,0.024064920
0.82,0.025696440
0.84,0.034261917
0.86,0.047212108
0.88,0.050169239
0.90,0.042725430
0.92,0.036607230
0.94,0.027633869
0.96,0.023962949
0.98,0.034567830
1.00,0.042011639
1.02,0.054044098
1.04,0.065158829
1.06,0.074642034
1.08,0.066484435
1.10,0.061080029
1.12,0.040787999
1.14,0.040787999
1.16,0.006424110
1.18,-0.052514548
1.20,-0.080250384
1.22,-0.061487907
1.24,-0.049353480
1.26,-0.025492499
1.28,-0.006016230
1.30,0.013663979
1.32,0.031406758
1.34,0.050883030
1.36,0.072398697
1.38,0.101460150
1.40,0.124403400
1.42,0.156014090
1.44,0.147856490
1.46,0.118285200
1.48,0.095341947
1.50,0.090957234
1.52,0.094424215
1.54,0.085552829
1.56,0.091874965
1.58,0.101256210
1.60,0.123383700
1.62,0.033446158
1.64,-0.150915590
1.66,-0.211077890
1.68,-0.202920290
1.70,-0.206999090
1.72,-0.185585390
1.74,-0.176408090
1.76,-0.178447490
1.78,-0.178447490
1.80,-0.184565690
1.82,-0.166211090
1.84,-0.137659500
1.86,-0.111147300
1.88,-0.079740534
1.90,-0.043745130
1.92,-0.001733490
1.94,0.036709199
1.96,0.080046447
1.98,0.118285200
2.00,0.163151990
2.02,0.199861190
2.04,0.245747690
2.06,0.278378090
2.08,0.309988790
2.10,0.326303990
2.12,0.348737390
2.14,0.287555390
2.16,0.236570390
2.18,-0.122364000
2.20,-0.241668890
2.22,-0.167230790
2.24,-0.190683890
2.26,-0.112167000
2.28,-0.076783410
2.30,-0.017640809
2.32,0.011522610
2.34,0.054350007
2.36,0.091263147
2.38,0.121344300
2.40,0.179467190
2.42,0.058734716
2.44,-0.268181090
2.46,-0.158053490
2.48,-0.176408090
2.50,-0.102989700
2.52,-0.059040630
2.54,0.024166890
2.56,-0.068319898
2.58,-0.201900590
2.60,-0.167230790
2.62,-0.172329290
2.64,-0.150915590
2.66,-0.125423100
2.68,-0.101970000
2.70,-0.076579466
2.72,-0.053330307
2.74,-0.027633869
2.76,-0.004486680
2.78,0.019170359
2.80,-0.009687150
2.82,-0.044153008
2.84,-0.085450860
2.86,-0.096973465
2.88,-0.073010516
2.90,-0.061080029
2.92,-0.034057980
2.94,-0.011012760
2.96,0.018864449
2.98,0.042827399
3.00,0.068625811
3.02,-0.009891090
3.04,-0.037932839
3.06,-0.004078800
3.08,0.001121670
3.10,0.035077680
3.12,0.057613048
3.14,0.090039510
3.16,0.115226100
3.18,0.138679200
3.20,0.022331429
3.22,0.024574770
3.24,0.069645511
3.26,0.070257329
3.28,0.134600400
3.30,0.137659500
3.32,0.208018790
3.34,-0.094934065
3.36,-0.133580700
3.38,-0.070563234
3.40,-0.055675617
3.42,0.007341840
3.44,0.068829748
3.46,-0.109107900
3.48,-0.151935290
3.50,-0.109107900
3.52,-0.118285200
3.54,-0.077701134
3.56,-0.057001230
3.58,-0.021923549
3.60,-0.012848220
3.62,-0.068727779
3.64,-0.033038280
3.66,-0.034363890
3.68,-0.011114729
3.70,0.001733490
3.72,0.030489029
3.74,0.049761357
3.76,0.061997757
3.78,0.022637340
3.80,-0.003263040
3.82,-0.024982649
3.84,0.007851690
3.86,0.021515670
3.88,0.057918957
3.90,0.084227216
3.92,0.123383700
3.94,0.150915590
3.96,0.177427790
3.98,0.042929367
4.00,0.002957130
4.02,0.026410229
4.04,0.029877208
4.06,-0.005608350
4.08,-0.014989589
4.10,0.014581710
4.12,0.021005820
4.14,0.050883030
4.16,0.065770648
4.18,0.097585284
4.20,0.115226100
4.22,0.147856490
4.24,0.166211090
4.26,0.198841490
4.28,0.189664190
4.30,0.201900590
4.32,0.180486890
4.34,0.127462500
4.36,-0.123383700
4.38,-0.055267739
4.40,-0.039156480
4.42,-0.031712669
4.44,-0.114206400
4.46,-0.169270190
4.48,-0.250846190
4.50,-0.206999090
4.52,-0.187624790
4.54,-0.134600400
4.56,-0.097891197
4.58,-0.033140249
4.60,0.015703379
4.62,0.083207516
4.64,0.134600400
4.66,0.185585390
4.68,-0.005914260
4.70,-0.017232929
4.72,0.029061449
4.74,0.045580589
4.76,0.100236510
4.78,0.144797390
4.80,0.188644490
4.82,0.250846190
4.84,0.172329290
4.86,-0.140718600
4.88,-0.101868030
4.90,-0.111147300
4.92,-0.092486784
4.94,-0.047823930
4.96,-0.127462500
4.98,-0.215156690
5.00,-0.165191390
5.02,-0.172329290
5.04,-0.133580700
5.06,-0.113186700
5.08,-0.078822810
5.10,-0.052004698
5.12,-0.055471680
5.14,-0.122364000
5.16,-0.123383700
5.18,-0.118285200
5.20,-0.117265500
5.22,-0.073112484
5.24,-0.055675617
5.26,0.006526080
5.28,-0.081983879
5.30,-0.166211090
5.32,-0.087592229
5.34,-0.097993165
5.36,-0.040380117
5.38,-0.014989589
5.40,0.032528428
5.42,0.066076561
5.44,0.089325715
5.46,0.048129839
5.48,0.020190059
5.50,-0.002753190
5.52,0.029775240
5.54,0.045376648
5.56,0.080046447
5.58,0.105029100
5.60,0.137659500
5.62,0.164171690
5.64,0.189664190
5.66,0.130521600
5.68,0.065260798
5.70,0.020801879
5.72,0.032018579
5.74,0.038034808
5.76,0.050577117
5.78,0.023962949
5.80,-0.008565479
5.82,-0.017130959
5.84,-0.011522610
5.86,-0.023351129
5.88,-0.025288558
5.90,-0.016009289
5.92,-0.007035930
5.94,0.014989589
5.96,0.038646630
5.98,0.059040630
6.00,0.026002349
6.02,-0.004180770
6.04,-0.043643158
6.06,-0.013562010
6.08,0.009687150
6.10,0.023453099
6.12,-0.013154129
6.14,-0.005098500
6.16,0.008157600
6.18,0.021413699
6.20,0.038748599
6.22,0.052004698
6.24,0.016009289
6.26,-0.003263040
6.28,-0.011318670
6.30,0.000509850
6.32,0.007749720
6.34,0.003568950
6.36,-0.009687150
6.38,-0.003670920
6.40,-0.001631520
6.42,0.003874860
6.44,0.008667450
6.46,-0.005710320
6.48,-0.030998879
6.50,-0.042929367
6.52,-0.024880679
6.54,-0.024064920
