# Time (s),Acceleration (g)
0.00000000,-0.01677852
0.01000000,-0.01677594
0.02000000,-0.01675460
0.03000000,-0.01675266
0.04000000,-0.01676559
0.05000000,-0.01677400
0.06000000,-0.01677271
0.07000000,-0.01675654
0.08000000,-0.01675202
0.09000000,-0.01676624
0.10000000,-0.01676495
0.11000000,-0.01675590
0.12000000,-0.01675266
0.13000000,-0.01674426
0.14000000,-0.01675137
0.15000000,-0.01677594
0.16000000,-0.01678240
0.17000000,-0.01677529
0.18000000,-0.01677271
0.19000000,-0.01676883
0.20000000,-0.01676365
0.21000000,-0.01676236
0.22000000,-0.01676495
0.23000000,-0.01676689
0.24000000,-0.01676171
0.25000000,-0.01675460
0.26000000,-0.01675008
0.27000000,-0.01674684
0.28000000,-0.01675978
0.29000000,-0.01677529
0.30000000,-0.01676624
0.31000000,-0.01675525
0.32000000,-0.01676236
0.33000000,-0.01676365
0.34000000,-0.01675072
0.35000000,-0.01674167
0.36000000,-0.01674555
0.37000000,-0.01675913
0.38000000,-0.01677529
0.39000000,-0.01678822
0.40000000,-0.01679857
0.41000000,-0.01678758
0.42000000,-0.01676107
0.43000000,-0.01674297
0.44000000,-0.01673779
0.45000000,-0.01675008
0.46000000,-0.01677077
0.47000000,-0.01677658
0.48000000,-0.01676818
0.49000000,-0.01676236
0.50000000,-0.01675719
0.51000000,-0.01674491
0.52000000,-0.01674749
0.53000000,-0.01677335
0.54000000,-0.01678434
0.55000000,-0.01677206
0.56000000,-0.01676753
0.57000000,-0.01678046
0.58000000,-0.01678305
0.59000000,-0.01675525
0.60000000,-0.01672874
0.61000000,-0.01673262
0.62000000,-0.01674814
0.63000000,-0.01676689
0.64000000,-0.01678305
0.65000000,-0.01677852
0.66000000,-0.01676624
0.67000000,-0.01675525
0.68000000,-0.01673844
0.69000000,-0.01673133
0.70000000,-0.01674038
0.71000000,-0.01676236
0.72000000,-0.01678887
0.73000000,-0.01679663
0.74000000,-0.01678370
0.75000000,-0.01676365
0.76000000,-0.01674943
0.77000000,-0.01675137
0.78000000,-0.01675396
0.79000000,-0.01675590
0.80000000,-0.01676753
0.81000000,-0.01677400
0.82000000,-0.01677206
0.83000000,-0.01676883
0.84000000,-0.01675331
0.85000000,-0.01673779
0.86000000,-0.01674297
0.87000000,-0.01675978
0.88000000,-0.01677852
0.89000000,-0.01679921
0.90000000,-0.01680697
0.91000000,-0.01679016
0.92000000,-0.01676042
0.93000000,-0.01673521
0.94000000,-0.01672486
0.95000000,-0.01672939
0.96000000,-0.01674038
0.97000000,-0.01675719
0.98000000,-0.01677141
0.99000000,-0.01677917
1.00000000,-0.01677594
1.01000000,-0.01675590
1.02000000,-0.01674167
1.03000000,-0.01674103
1.04000000,-0.01674426
1.05000000,-0.01675396
1.06000000,-0.01675978
1.07000000,-0.01675913
1.08000000,-0.01677077
1.09000000,-0.01679210
1.10000000,-0.01680245
1.11000000,-0.01679533
1.12000000,-0.01677982
1.13000000,-0.01676624
1.14000000,-0.01675654
1.15000000,-0.01675072
1.16000000,-0.01674684
1.17000000,-0.01675137
1.18000000,-0.01676947
1.19000000,-0.01678370
1.20000000,-0.01676430
1.21000000,-0.01673068
1.22000000,-0.01671904
1.23000000,-0.01673197
1.24000000,-0.01675848
1.25000000,-0.01678434
1.26000000,-0.01679016
1.27000000,-0.01677594
1.28000000,-0.01675848
1.29000000,-0.01675654
1.30000000,-0.01675590
1.31000000,-0.01674555
1.32000000,-0.01674878
1.33000000,-0.01675719
1.34000000,-0.01675978
1.35000000,-0.01676495
